index,categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,mark-all,mark-human,final_label,Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,location_count,method_count,file_count
0,MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-bcel,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Const.java,1532,1532,04c041211cdc102ec44ca098a7e7ddfee27a0ce8,src/main/java/org/apache/commons/bcel6/Const.java,NO_METHOD,SHORT_TYPE_NAMES,fixed,0,TP,TRUE,TP,Public Class,org.apache.commons.bcel6.Const,main\java\org\apache\commons\bcel6\Const.java,1,1,1,1,7,0,2,5,1,5,0,0,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2040,114,747,718,644,1370,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,14,14
1,MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,f1b16c36f6c1bd1ef6e27b227c5fdf7479107a0f,src/main/java/org/apache/bcel/classfile/Module.java,121,121,7e5355a1eb85940ada6a6bf81258dc9c23211f56,src/main/java/org/apache/bcel/classfile/Module.java,getExportsTable()[Lorg/apache/bcel/classfile/ModuleExports;,exports_table,fixed,277,TP,FALSE,FP,Public Method,org.apache.bcel.classfile.Module.getExportsTable(),main\java\org\apache\bcel\classfile\Module.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,1.33,1,1,1,1,3,3,12
2,MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-bcel,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,bad2013536c318ef13b48443c1ed08c60fa8ccad,src/main/java/org/apache/commons/bcel6/Constants.java,2046,2046,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,METHODHANDLE_NAMES,fixed,17,TP,FALSE,FP,Public Class,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1,1,1,1,5,0,2,3,1,2,0,10,-1,4,383,-1,-1,-1,1,0,5,17,0,1,0,4,-1,1885,99,705,696,633,1272,-1,-1,-1,387,393,389,4,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.8,5,5,5,5,1,54,54
3,MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-bcel,cfbd46ac5bfbb669776e9403375a581fc4d4e8bd,bad2013536c318ef13b48443c1ed08c60fa8ccad,src/main/java/org/apache/commons/bcel6/Constants.java,1557,1557,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,NO_OF_OPERANDS,fixed,17,TP,FALSE,FP,Public Class,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1,1,1,1,7,0,2,5,1,2,0,10,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2033,112,747,718,644,1365,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,54,54
4,DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,1fab454ef0501571d575ae6fb0c8367fd03f8a85,src/main/java/org/apache/bcel/generic/InstructionComparator.java,53,53,974c435df5b3bf3658dc340940a6ee7d82fb3919,src/main/java/org/apache/bcel/generic/InstructionComparator.java,equals(Lorg/apache/bcel/generic/Instruction;Lorg/apache/bcel/generic/Instruction;)Z,NO_FIELD,fixed,11,TP,FALSE,FP,Public Method,"org.apache.bcel.classfile.Constant.(Anon_1).equals(Object,Object)",main\java\org\apache\bcel\classfile\Constant.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,0,5,2,4,0,3,1,0,3,4,3,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1,1,1,1,4,4,4
5,MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,f1b16c36f6c1bd1ef6e27b227c5fdf7479107a0f,src/main/java/org/apache/bcel/classfile/Module.java,139,139,7e5355a1eb85940ada6a6bf81258dc9c23211f56,src/main/java/org/apache/bcel/classfile/Module.java,getProvidesTable()[Lorg/apache/bcel/classfile/ModuleProvides;,provides_table,fixed,277,TP,FALSE,FP,Public Method,org.apache.bcel.classfile.Module.getProvidesTable(),main\java\org\apache\bcel\classfile\Module.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,1.33,1,1,1,1,3,3,12
6,MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-bcel,b71a0f371551be0ce4a0b775f8753e0d9ca685df,bad2013536c318ef13b48443c1ed08c60fa8ccad,src/main/java/org/apache/commons/bcel6/Constants.java,1719,1719,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,OPCODE_NAMES,fixed,17,TP,FALSE,FP,Public Class,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1,1,1,1,3,0,2,2,1,2,0,10,-1,1,383,-1,-1,-1,1,0,2,14,0,1,0,1,-1,1854,96,694,691,630,1255,-1,-1,-1,384,387,386,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,2,2,2,2,1,54,54
7,MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-bcel,cfbd46ac5bfbb669776e9403375a581fc4d4e8bd,bad2013536c318ef13b48443c1ed08c60fa8ccad,src/main/java/org/apache/commons/bcel6/Constants.java,1496,1496,02f53e4fa6ec7fa339c8c9273183669d7f5928c9,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,TYPE_NAMES,fixed,17,TP,FALSE,FP,Public Class,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1,1,1,1,7,0,2,5,1,2,0,10,-1,14,384,-1,-1,-1,1,0,15,27,0,1,0,14,-1,2033,112,747,718,644,1365,-1,-1,-1,398,414,400,14,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.83,15,15,15,15,1,54,54
8,MALICIOUS_CODE,MS_MUTABLE_ARRAY,1,16,commons-bcel,676ca076e0556f0302096966eaa3a8186e65140f,1123baa3bbe3ac4f8ad89ad803893b1997fa70f3,src/main/java/org/apache/commons/bcel6/Constants.java,240,240,cfbd46ac5bfbb669776e9403375a581fc4d4e8bd,src/main/java/org/apache/commons/bcel6/Constants.java,NO_METHOD,ACCESS_NAMES,fixed,2,TP,TRUE,TP,Public Class,org.apache.commons.bcel6.Constants,main\java\org\apache\commons\bcel6\Constants.java,1,1,1,1,1,0,1,1,1,1,0,10,-1,0,382,-1,-1,-1,1,0,1,13,0,1,0,0,-1,1839,93,689,688,628,1248,-1,-1,-1,382,384,384,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,-1,0,0,1.81,1,1,1,1,3,54,54
9,MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-bcel,8cabe905c650f99cbffb6c0ed77dc0c34ca4d4f0,f1b16c36f6c1bd1ef6e27b227c5fdf7479107a0f,src/main/java/org/apache/bcel/classfile/Module.java,130,130,7e5355a1eb85940ada6a6bf81258dc9c23211f56,src/main/java/org/apache/bcel/classfile/Module.java,getOpensTable()[Lorg/apache/bcel/classfile/ModuleOpens;,opens_table,fixed,277,TP,FALSE,FP,Public Method,org.apache.bcel.classfile.Module.getOpensTable(),main\java\org\apache\bcel\classfile\Module.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,1.33,1,1,1,1,3,3,12
