categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,mark-all,mark-human,final_label,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,location_count,method_count,file_count
DODGY_CODE,UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,2,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,-1,-1,,,NO_METHOD,reactorProjects,unfixed,372,FP,,FP,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractDependencyMojo,1,1,1,1,12,0,7,4,1,1,1,2,-1,0,0,-1,-1,-1,20,12,20,20,0,1,3,16,-1,366,45,164,41,58,157,-1,-1,-1,53,82,37,45,-1,-1,-1,-1,-1,7,7,8,1,-1,2,3,-1,91,88,0.96,30,30,31,20,19,59,192
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,186,186,,,NO_METHOD,outputAbsoluteArtifactFilename,unfixed,372,FP,,FP,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractDependencyMojo,1,1,1,1,12,0,7,4,1,1,1,2,-1,0,0,-1,-1,-1,20,12,20,20,0,1,3,16,-1,366,45,164,41,58,157,-1,-1,-1,53,82,37,45,-1,-1,-1,-1,-1,7,7,8,1,-1,2,3,-1,91,88,0.96,30,30,31,20,4,59,192
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,313,313,,,NO_METHOD,project,unfixed,372,FP,,FP,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractDependencyMojo,1,1,1,1,12,0,7,4,1,1,1,2,-1,0,0,-1,-1,-1,20,12,20,20,0,1,3,16,-1,366,45,164,41,58,157,-1,-1,-1,53,82,37,45,-1,-1,-1,-1,-1,7,7,8,1,-1,2,3,-1,91,88,0.96,30,30,31,20,4,59,192
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,285,285,,,silenceUnarchiver(Lorg/codehaus/plexus/archiver/UnArchiver;)V,NO_FIELD,unfixed,372,FP,,FP,Private Method,org.apache.maven.plugin.dependency.AbstractDependencyMojo.silenceUnarchiver,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,19,2,12,2,5,5,5,2,0,3,5,2,3,2,2,2,1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,0.42,2,2,2,1,8,40,192
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,151,151,,,NO_METHOD,silent,unfixed,372,FP,,FP,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractDependencyMojo,1,1,1,1,12,0,7,4,1,1,1,2,-1,0,0,-1,-1,-1,20,12,20,20,0,1,3,16,-1,366,45,164,41,58,157,-1,-1,-1,53,82,37,45,-1,-1,-1,-1,-1,7,7,8,1,-1,2,3,-1,91,88,0.96,30,30,31,20,9,59,192
DODGY_CODE,REC_CATCH_EXCEPTION,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,285,285,,,silenceUnarchiver(Lorg/codehaus/plexus/archiver/UnArchiver;)V,NO_FIELD,unfixed,372,FP,,FP,Private Method,org.apache.maven.plugin.dependency.AbstractDependencyMojo.silenceUnarchiver,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,19,2,12,2,5,5,5,2,0,3,5,2,3,2,2,2,1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,0.42,2,2,2,1,8,40,192
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,224,224,,,unpack(Ljava/io/File;Ljava/io/File;Ljava/lang/String;Ljava/lang/String;)V,NO_FIELD,unfixed,372,FP,,FP,Protected Method,org.apache.maven.plugin.dependency.AbstractDependencyMojo.unpack,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,69,10,43,4,24,16,16,12,1,15,21,3,18,7,7,8,1,3,-1,-1,-1,-1,0,-1,3,0,-1,-1,0.37,7,7,8,1,6,9,192
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,d6b4b575fb251c418f5f6438419648b4690191de,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractFromDependenciesMojo.java,99,99,,,execute()V,outputDirectory,unfixed,0,UNKNOWN,,UNKNOWN,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,22,3,19,3,9,0,6,4,1,6,10,2,8,4,4,6,3,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,0,4,4,6,3,8,16,33
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,96,96,,,NO_METHOD,outputFile,unfixed,372,FP,,FP,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractResolveMojo,1,1,1,1,24,1,10,12,1,0,0,4,-1,0,0,-1,-1,-1,2,2,2,29,0,0,2,0,-1,75,4,27,15,10,44,-1,-1,-1,11,14,10,4,-1,-1,-1,-1,-1,2,2,2,1,-1,4,1,-1,75,75,1.63,3,3,3,2,13,31,46
DODGY_CODE,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,105,105,,,resolveArtifactDependencies(Lorg/apache/maven/artifact/Artifact;)Ljava/util/Set;,mavenProjectBuilder,unfixed,372,FP,,FP,Protected Method,org.apache.maven.plugin.dependency.AbstractResolveMojo.resolveArtifactDependencies,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,24,2,9,6,4,13,7,1,0,3,4,3,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,1.44,1,1,1,1,3,15,46
