categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,mark-all,mark-human,final_label,Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,location_count,method_count,file_count
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-net,00104e73df37ae873fd6a6b2b9e0b69bd940ec25,16b656fc57d73550ec04e8d253238a10d2255a70,src/main/java/org/apache/commons/net/nntp/ArticlePointer.java,1876,1876,,,NO_METHOD,articleNumber,unknown,218,UNKNOWN,,UNKNOWN,Public Class,org.apache.commons.net.nntp.ArticlePointer,main\java\org\apache\commons\net\nntp\ArticlePointer.java,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,-1,-1,0,2,0,0,0,0,0,0,-1,21,0,5,3,0,16,-1,-1,-1,2,3,3,0,-1,-1,-1,-1,-1,0,0,0,0,-1,1,0,-1,0,0,3.2,0,0,0,0,12,48,48
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-net,00104e73df37ae873fd6a6b2b9e0b69bd940ec25,16b656fc57d73550ec04e8d253238a10d2255a70,src/main/java/org/apache/commons/net/nntp/ArticlePointer.java,1875,1875,,,NO_METHOD,articleId,unknown,218,UNKNOWN,,UNKNOWN,Public Class,org.apache.commons.net.nntp.ArticlePointer,main\java\org\apache\commons\net\nntp\ArticlePointer.java,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-1,-1,-1,0,2,0,0,0,0,0,0,-1,21,0,5,3,0,16,-1,-1,-1,2,3,3,0,-1,-1,-1,-1,-1,0,0,0,0,-1,1,0,-1,0,0,3.2,0,0,0,0,12,48,48
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,2,16,commons-net,0a3c3449fe484d17b04516d562226337c1b10255,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/examples/Main.java,45,104,,,main([Ljava/lang/String;)V,NO_FIELD,unfixed,308,FP,,FP,Public Static Method,examples.Main.main(String[]),main\java\examples\Main.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,61,1,48,10,37,14,18,14,1,24,34,10,24,9,9,9,1,6,-1,-1,-1,-1,0,-1,3,0,-1,-1,0.29,9,9,9,1,9,10,11
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/PrintCommandListener.java,47,47,,,<init>(Ljava/io/PrintStream;)V,NO_FIELD,unfixed,637,FP,,FP,Public Class,org.apache.commons.net.PrintCommandListener,main\java\org\apache\commons\net\PrintCommandListener.java,1,1,1,1,13,0,7,6,2,2,2,0,-1,0,0,-1,-1,-1,11,4,11,11,0,1,0,10,-1,178,10,87,21,44,84,-1,-1,-1,38,57,21,36,-1,-1,-1,-1,-1,5,5,6,3,-1,1,3,-1,77,11,0.97,18,18,19,13,19,19,80
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/PrintCommandListener.java,74,74,,,<init>(Ljava/io/PrintStream;ZC)V,NO_FIELD,unfixed,637,FP,,FP,Public Class,org.apache.commons.net.PrintCommandListener,main\java\org\apache\commons\net\PrintCommandListener.java,1,1,1,1,13,0,7,6,2,2,2,0,-1,0,0,-1,-1,-1,11,4,11,11,0,1,0,10,-1,178,10,87,21,44,84,-1,-1,-1,38,57,21,36,-1,-1,-1,-1,-1,5,5,6,3,-1,1,3,-1,77,11,0.97,18,18,19,13,19,19,80
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/PrintCommandListener.java,60,60,,,<init>(Ljava/io/PrintStream;Z)V,NO_FIELD,unfixed,637,FP,,FP,Public Class,org.apache.commons.net.PrintCommandListener,main\java\org\apache\commons\net\PrintCommandListener.java,1,1,1,1,13,0,7,6,2,2,2,0,-1,0,0,-1,-1,-1,11,4,11,11,0,1,0,10,-1,178,10,87,21,44,84,-1,-1,-1,38,57,21,36,-1,-1,-1,-1,-1,5,5,6,3,-1,1,3,-1,77,11,0.97,18,18,19,13,19,19,80
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/PrintCommandListener.java,89,89,,,<init>(Ljava/io/PrintStream;ZCZ)V,NO_FIELD,unfixed,637,FP,,FP,Public Class,org.apache.commons.net.PrintCommandListener,main\java\org\apache\commons\net\PrintCommandListener.java,1,1,1,1,13,0,7,6,2,2,2,0,-1,0,0,-1,-1,-1,11,4,11,11,0,1,0,10,-1,178,10,87,21,44,84,-1,-1,-1,38,57,21,36,-1,-1,-1,-1,-1,5,5,6,3,-1,1,3,-1,77,11,0.97,18,18,19,13,19,19,80
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/ftp/FTPClient.java,2316,2316,,,featureValues(Ljava/lang/String;)[Ljava/lang/String;,NO_FIELD,unfixed,637,FP,,FP,Public Method,org.apache.commons.net.ftp.FTPClient.featureValues(String),main\java\org\apache\commons\net\ftp\FTPClient.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,20,0,10,2,6,10,6,3,0,4,7,2,5,3,3,3,3,2,-1,-1,-1,-1,2,-1,1,2,-1,-1,1,3,3,3,3,6,19,85
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/ftp/FTPClient.java,2493,2493,,,doCommandAsStrings(Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;,NO_FIELD,unfixed,637,FP,,FP,Public Method,"org.apache.commons.net.ftp.FTPClient.doCommandAsStrings(String,String)",main\java\org\apache\commons\net\ftp\FTPClient.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,25,0,9,2,5,16,4,2,0,3,5,2,3,2,2,2,1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,1.78,2,2,2,1,6,19,85
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,3,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,069d30542fc14ba76f36c631e9746a529c0e12cf,src/main/java/org/apache/commons/net/ftp/FTPClient.java,666,666,,,_storeFile(Ljava/lang/String;Ljava/lang/String;Ljava/io/InputStream;)Z,NO_FIELD,unfixed,637,FP,,FP,Private Method,"org.apache.commons.net.ftp.FTPClient.__storeFile(FTPCmd,String,InputStream)",main\java\org\apache\commons\net\ftp\FTPClient.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,0,5,2,1,0,3,1,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1,1,1,1,7,8,85
